,uv,temp,drain_piezo,humidity,maxdailygust,soilmoisture2,solarradiation
282,0.0,18.111111111111107,0.0,59.0,16.560149759999998,30.0,0.0
283,0.0,18.111111111111107,0.0,58.0,16.560149759999998,30.0,0.0
284,0.0,18.111111111111107,0.0,59.0,16.560149759999998,30.0,0.0
285,0.0,18.111111111111107,0.0,58.0,16.560149759999998,30.0,0.0
286,0.0,18.111111111111107,0.0,59.0,16.560149759999998,30.0,0.0
287,0.0,18.111111111111107,0.0,59.0,16.560149759999998,30.0,0.0
288,0.0,18.111111111111107,0.0,59.0,16.560149759999998,30.0,0.0
289,0.0,18.111111111111107,0.0,59.0,16.560149759999998,30.0,0.0
290,0.0,18.111111111111107,0.0,58.0,16.560149759999998,30.0,0.0
291,0.0,18.111111111111107,0.0,59.0,16.560149759999998,30.0,0.0
292,0.0,18.111111111111107,0.0,59.0,16.560149759999998,30.0,0.0
293,0.0,18.111111111111107,0.0,59.0,16.560149759999998,30.0,0.0
294,0.0,18.111111111111107,0.0,59.0,16.560149759999998,30.0,0.0
295,0.0,18.22222222222222,0.0,59.0,16.560149759999998,30.0,0.0
296,0.0,18.22222222222222,0.0,58.0,16.560149759999998,30.0,0.0
297,0.0,18.111111111111107,0.0,59.0,16.560149759999998,30.0,0.0
298,0.0,18.111111111111107,0.0,58.0,16.560149759999998,30.0,0.0
299,0.0,18.111111111111107,0.0,59.0,16.560149759999998,30.0,0.0
300,0.0,18.111111111111107,0.0,59.0,16.560149759999998,30.0,0.0
301,0.0,18.111111111111107,0.0,59.0,16.560149759999998,30.0,0.0
302,0.0,18.111111111111107,0.0,59.0,16.560149759999998,30.0,0.0
303,0.0,18.000000000000004,0.0,59.0,16.560149759999998,30.0,0.0
304,0.0,18.000000000000004,0.0,60.0,16.560149759999998,30.0,0.0
305,0.0,18.000000000000004,0.0,59.0,16.560149759999998,30.0,0.0
306,0.0,18.000000000000004,0.0,60.0,16.560149759999998,30.0,0.0
307,0.0,18.000000000000004,0.0,60.0,16.560149759999998,30.0,0.0
308,0.0,18.000000000000004,0.0,59.0,16.560149759999998,30.0,0.0
